               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.034307,             0.02254,           0.0010426,              0.7133,             0.63673,             0.67738,             0.43134,            0.035363,            0.020223,          0.00068194,            0.007261,            0.007261,            0.007261
                  85,            0.034126,            0.022727,           0.0011574,             0.72594,             0.66356,             0.68651,             0.43098,            0.035818,            0.020453,          0.00058633,            0.007228,            0.007228,            0.007228
                  86,            0.033873,             0.02231,           0.0011053,             0.71313,             0.66542,             0.68761,             0.43821,            0.036052,            0.020279,          0.00057681,            0.007195,            0.007195,            0.007195
                  87,            0.034145,            0.022338,           0.0010106,             0.75465,             0.65281,             0.68205,             0.43604,            0.035866,            0.020518,          0.00056419,            0.007162,            0.007162,            0.007162
                  88,            0.033988,            0.022556,           0.0010096,             0.71131,             0.68731,             0.68684,             0.43389,            0.035518,            0.020536,          0.00052096,            0.007129,            0.007129,            0.007129
                  89,            0.033586,             0.02218,           0.0010309,             0.74999,             0.65707,             0.68584,             0.43641,            0.035487,            0.020316,          0.00050324,            0.007096,            0.007096,            0.007096
                  90,             0.03374,            0.021922,          0.00099996,              0.7412,             0.66064,             0.68474,             0.43314,            0.035184,             0.02021,          0.00042178,            0.007063,            0.007063,            0.007063
                  91,            0.033904,            0.022217,           0.0010227,             0.73016,              0.6424,             0.68678,             0.43489,            0.035648,            0.020356,          0.00041751,             0.00703,             0.00703,             0.00703
                  92,            0.033806,            0.022296,          0.00099769,              0.7227,             0.68675,             0.68937,             0.43908,            0.035722,            0.020458,          0.00041741,            0.006997,            0.006997,            0.006997
                  93,            0.033661,            0.022189,          0.00099029,             0.72001,             0.66383,             0.70082,             0.43631,            0.035655,            0.020418,          0.00039571,            0.006964,            0.006964,            0.006964
                  94,            0.033771,            0.022228,          0.00095899,             0.72821,             0.68121,             0.70054,             0.43921,            0.035644,             0.02027,          0.00040425,            0.006931,            0.006931,            0.006931
